val,meas,response,concentration
0.3985830957268166,BGE,positive,0.001
0.3769119798037452,BGE,positive,0.001
0.42224946412733655,BGE,positive,0.001
0.29831454248181233,BGE,negative,0.001
0.2766617931820493,BGE,negative,0.001
0.30587281032735225,BGE,negative,0.001
0.41410558803944936,BGE,positive,0.001
0.4133343476683016,BGE,positive,0.001
0.4280753429172055,BGE,positive,0.001
0.427269690593593,BGE,negative,0.001
0.42961984920238083,BGE,positive,0.001
0.4251569444924297,BGE,positive,0.001
0.429975996708468,BGE,negative,0.001
0.4221106986993901,BGE,positive,0.001
0.42966783544156084,BGE,positive,0.001
0.4159745924859007,BGE,negative,0.001
0.4286736705698757,BGE,negative,0.001
0.06748316229071692,BGE,positive,0.001
0.06207842911973803,BGE,positive,0.001
0.4282034913381326,BGE,positive,0.001
0.4303852401387712,BGE,positive,0.001
0.4375443317559946,BGE,positive,0.001
0.32214209460085286,BGE,negative,0.001
0.4385710557361008,BGE,positive,0.001
0.44007138941242346,BGE,positive,0.001
0.437060959396392,BGE,positive,0.001
0.43565259771894693,BGE,positive,0.001
0.40503771247901177,BGE,positive,0.001
0.37477550514195607,BGE,positive,0.001
0.42568602944008593,BGE,positive,0.001
0.327520650822408,BGE,negative,0.001
0.3513626197294809,BGE,negative,0.001
0.3076751101828477,BGE,negative,0.001
0.42437688115922134,BGE,positive,0.001
0.4243061545003345,BGE,positive,0.001
0.4398034608932921,BGE,positive,0.001
0.4387427809109331,BGE,negative,0.001
0.4357458997507171,BGE,positive,0.001
0.4354777538979228,BGE,positive,0.001
0.4382202276895255,BGE,negative,0.001
0.4362236462251241,BGE,positive,0.001
0.439788314408447,BGE,positive,0.001
0.42342214010265394,BGE,negative,0.001
0.4262616999831898,BGE,negative,0.001
0.09747865482354581,BGE,positive,0.001
0.08033869265021924,BGE,positive,0.001
0.43984456246253295,BGE,positive,0.001
0.43204516562984396,BGE,positive,0.001
0.4022607830793889,BGE,positive,0.001
0.39626169272449946,BGE,negative,0.001
0.40497210431278563,BGE,positive,0.001
0.4053076105925689,BGE,positive,0.001
0.3989401293032836,BGE,positive,0.001
0.40582364349906297,BGE,positive,0.001
0.3887984917286529,BGE,positive,0.001
0.34528041920875563,BGE,positive,0.001
0.3929616510376546,BGE,positive,0.001
0.30946344534878406,BGE,negative,0.001
0.2121126763277013,BGE,negative,0.001
0.3134515904831016,BGE,negative,0.001
0.3937651973839673,BGE,positive,0.001
0.39656178951958126,BGE,positive,0.001
0.4047518733237239,BGE,positive,0.001
0.4033450963415471,BGE,negative,0.001
0.40477332496991114,BGE,positive,0.001
0.403150129112248,BGE,positive,0.001
0.4022586339039894,BGE,negative,0.001
0.39506433830583376,BGE,positive,0.001
0.40390504489100687,BGE,positive,0.001
0.4011693179668741,BGE,negative,0.001
0.40444448315471215,BGE,negative,0.001
0.15078743567345118,BGE,positive,0.001
0.0827294099372218,BGE,positive,0.001
0.40395052759872585,BGE,positive,0.001
0.3983567783566251,BGE,positive,0.001
0.48350645872163034,BGE,positive,0.001
0.47510569015267357,BGE,negative,0.001
0.48376233530869617,BGE,positive,0.001
0.4848673653571942,BGE,positive,0.001
0.48365331669178563,BGE,positive,0.001
0.48458276570351555,BGE,positive,0.001
0.47456583179086753,BGE,positive,0.001
0.4727903106803204,BGE,positive,0.001
0.47575639757931487,BGE,positive,0.001
0.47306150242822587,BGE,negative,0.001
0.4724035618600889,BGE,negative,0.001
0.47278744269585504,BGE,negative,0.001
0.47826599791761637,BGE,positive,0.001
0.47777578349254746,BGE,positive,0.001
0.4837797883752444,BGE,positive,0.001
0.4848097107556867,BGE,negative,0.001
0.4860713848876071,BGE,positive,0.001
0.4824932416097907,BGE,positive,0.001
0.48399892454850024,BGE,negative,0.001
0.48042834083928504,BGE,positive,0.001
0.4849061159937402,BGE,positive,0.001
0.4832230640148685,BGE,negative,0.001
0.47904045754553853,BGE,negative,0.001
0.47022123851019526,BGE,positive,0.001
0.4697787742809322,BGE,positive,0.001
0.48585677893021617,BGE,positive,0.001
0.4790242996632091,BGE,positive,0.001
0.4382127344608824,BGE,positive,0.001
0.361227703784803,BGE,negative,0.001
0.44519366822839995,BGE,positive,0.001
0.44346573927896565,BGE,positive,0.001
0.43946830146216476,BGE,positive,0.001
0.44305657520410263,BGE,positive,0.001
0.4146040200447394,BGE,positive,0.001
0.37537138683604554,BGE,positive,0.001
0.43808060604279453,BGE,positive,0.001
0.37616620661401606,BGE,negative,0.001
0.34299349146239266,BGE,negative,0.001
0.3680707282440566,BGE,negative,0.001
0.44131757422563345,BGE,positive,0.001
0.4369260114823653,BGE,positive,0.001
0.4442144302442557,BGE,positive,0.001
0.43372594014868115,BGE,negative,0.001
0.44107325318474794,BGE,positive,0.001
0.44423863335401603,BGE,positive,0.001
0.44003246020436654,BGE,negative,0.001
0.4347493425540679,BGE,positive,0.001
0.44671149696967594,BGE,positive,0.001
0.4367284888104166,BGE,negative,0.001
0.43852876938999,BGE,negative,0.001
0.11882147531603046,BGE,positive,0.001
0.0,BGE,positive,0.001
0.4470063804612049,BGE,positive,0.001
0.447036830247156,BGE,positive,0.001
0.0,BGE,positive,0.001
0.40529352314563805,BGE,negative,0.001
0.45261837751291933,BGE,positive,0.001
0.4539025797332944,BGE,positive,0.001
